rank,check,rule_id,rule,table,count,table_rows,pct_of_table,tier,top_channel_changed,max_abs_delta_pp,scenario,mechanism,materiality,note,evidence_csv,identifier_sensitive,same_defect_as
1,4. Categorical hygiene,R4.5.Candidates.Source,"taxonomy overlap, 'LinkedIn' can also count as 'Job Board' (declared): Candidates.Source",Candidates,31,300.0,10.33,HIGH,True,11.54,'LinkedIn' is counted as 'Job Board',"3 hire(s) re-sourced (APP-00281/CAND-00281 LinkedIn->Job Board, APP-00298/CAND-00298 LinkedIn->Job Board, APP-00265/CAND-00265 LinkedIn->Job Board); no hire is removed or added, so the hire denominator stays 26, giving Job Board share of hires 7/26 -> 10/26.",If 'LinkedIn' is counted as 'Job Board': Job Board share of hires 7/26 -> 10/26 (+11.54pp); top channel 'Job Board = Referral' -> 'Job Board',,audit_4_categorical_hygiene.csv,False,
2,6. State-machine contradictions,R6.6,Offer Pending but it carries a Decision On date,Offers,4,36.0,11.11,HIGH,False,11.11,they were in fact accepted,"4 offer(s) Pending->Accepted (accepted/decided numerator +4, denominator +4), giving accepted/all offers 26/36 -> 30/36, accepted/decided offers 26/31 -> 30/35.",If they were in fact accepted: accepted/all offers 26/36 -> 30/36 (+11.11pp); accepted/decided offers 26/31 -> 30/35 (+1.84pp),,audit_6_state_machine_contradictions.csv,False,
3,6. State-machine contradictions,R6.19,Candidate Source is Referral but the application has no Referred By,Applications,10,350.0,2.86,HIGH,True,9.92,their true channel is unknown: those hires are excluded,"7 hire(s) removed (APP-00015/CAND-00015 Referral, APP-00014/CAND-00014 Referral, APP-00335/CAND-00035 Referral, APP-00002/CAND-00002 Referral, +3 more), giving Job Board share of hires 7/26 -> 7/19.",If their true channel is unknown: those hires are excluded: Job Board share of hires 7/26 -> 7/19 (+9.92pp); top channel 'Job Board = Referral' -> 'Job Board',,audit_6_state_machine_contradictions.csv,False,
4,6. State-machine contradictions,R6.9,Rejection Reason set on an application that is not Rejected/Withdrawn,Applications,4,350.0,1.14,HIGH,True,8.87,the rejection reason is right: those hires are removed and their offers counted as Declined,"2 hire(s) removed (APP-00002/CAND-00002 Referral, APP-00004/CAND-00004 Referral); 2 offer(s) Accepted->Declined (accepted/decided numerator -2, denominator +0); 1 offer(s) Pending->Declined (accepted/decided numerator +0, denominator +1), giving Job Board share of hires 7/26 -> 7/24, accepted/all offers 26/36 -> 24/36, accepted/decided offers 26/31 -> 24/32.",If the rejection reason is right: those hires are removed and their offers counted as Declined: Job Board share of hires 7/26 -> 7/24 (+2.24pp); accepted/all offers 26/36 -> 24/36 (-5.56pp); accepted/decided offers 26/31 -> 24/32 (-8.87pp); top channel 'Job Board = Referral' -> 'Job Board',,audit_6_state_machine_contradictions.csv,False,
5,6. State-machine contradictions,R6.15,Requisition with more hires than Headcount,Job Openings,4,24.0,16.67,HIGH,True,6.41,hires beyond headcount (latest first) are excluded,"5 hire(s) removed (APP-00015/CAND-00015 Referral, APP-00014/CAND-00014 Referral, APP-00002/CAND-00002 Referral, APP-00103/CAND-00103 Career Site, +1 more); 5 offer(s) Accepted->dropped (accepted/decided numerator -5, denominator -5), giving Job Board share of hires 7/26 -> 7/21, accepted/all offers 26/36 -> 21/31, accepted/decided offers 26/31 -> 21/26.",If hires beyond headcount (latest first) are excluded: Job Board share of hires 7/26 -> 7/21 (+6.41pp); accepted/all offers 26/36 -> 21/31 (-4.48pp); accepted/decided offers 26/31 -> 21/26 (-3.10pp); top channel 'Job Board = Referral' -> 'Job Board',,audit_6_state_machine_contradictions.csv,False,
6,6. State-machine contradictions,R6.14,Offer still Pending on a Cancelled or On Hold requisition,Offers,2,36.0,5.56,HIGH,False,5.08,Pending offers on requisitions that are not hiring are counted as Declined,"2 offer(s) Pending->Declined (accepted/decided numerator +0, denominator +2), giving accepted/decided offers 26/31 -> 26/33.",If Pending offers on requisitions that are not hiring are counted as Declined: accepted/decided offers 26/31 -> 26/33 (-5.08pp),,audit_6_state_machine_contradictions.csv,False,
7,6. State-machine contradictions,R6.13,Hire on a Cancelled or On Hold requisition,Applications,4,350.0,1.14,HIGH,True,4.2,hires on requisitions that are not hiring are excluded,"4 hire(s) removed (APP-00319/CAND-00019 Job Board, APP-00334/CAND-00034 Job Board, APP-00002/CAND-00002 Referral, APP-00103/CAND-00103 Career Site); 4 offer(s) Accepted->dropped (accepted/decided numerator -4, denominator -4), giving Job Board share of hires 7/26 -> 5/22, accepted/all offers 26/36 -> 22/32, accepted/decided offers 26/31 -> 22/27.",If hires on requisitions that are not hiring are excluded: Job Board share of hires 7/26 -> 5/22 (-4.20pp); accepted/all offers 26/36 -> 22/32 (-3.47pp); accepted/decided offers 26/31 -> 22/27 (-2.39pp); top channel 'Job Board = Referral' -> 'Referral',,audit_6_state_machine_contradictions.csv,False,
8,6. State-machine contradictions,R6.18,Application has Referred By but the candidate's Source is not Referral,Applications,24,350.0,6.86,HIGH,True,3.85,Referred By wins: those applications count as Referral,"3 hire(s) re-sourced (APP-00293/CAND-00293 Agency->Referral, APP-00310/CAND-00010 Job Board->Referral, APP-00103/CAND-00103 Career Site->Referral); no hire is removed or added, so the hire denominator stays 26, giving Job Board share of hires 7/26 -> 6/26.",If Referred By wins: those applications count as Referral: Job Board share of hires 7/26 -> 6/26 (-3.85pp); top channel 'Job Board = Referral' -> 'Referral',,audit_6_state_machine_contradictions.csv,False,
9,3. Duplicates,R3.2,Candidates sharing a normalised name + last 10 phone digits,Candidates,12,300.0,4.0,HIGH,True,3.85,each group is merged into its earliest-created record,"1 hire(s) re-sourced (APP-00002/CAND-00002 Referral->Job Board); no hire is removed or added, so the hire denominator stays 26, giving Job Board share of hires 7/26 -> 8/26.",If each group is merged into its earliest-created record: Job Board share of hires 7/26 -> 8/26 (+3.85pp); top channel 'Job Board = Referral' -> 'Job Board',"Tie-break sensitivity, computed once on snapshot 2026-09-14T18:07:35Z and not re-run: earliest Created On (implemented), latest Created On and earliest application each give Job Board 8/26; the hired record keeping its own Source gives 7/26; the range 7/26-8/26 changes no verdict (channel conversion order unchanged, first vs second not separable). The grouping key (name + phone) is identifier-dependent and the tie-break key Candidates.Created On contradicts the application dates of CAND-00002, CAND-00003 and CAND-00004, so no precision beyond the range is available.",audit_3_duplicates.csv,False,
10,6. State-machine contradictions,R6.20,Same person (name + phone) hired more than once,Applications,4,350.0,1.14,HIGH,True,2.24,each person keeps only their earliest hire,"2 hire(s) removed (APP-00015/CAND-00015 Referral, APP-00335/CAND-00035 Referral); 2 offer(s) Accepted->dropped (accepted/decided numerator -2, denominator -2), giving Job Board share of hires 7/26 -> 7/24, accepted/all offers 26/36 -> 24/34, accepted/decided offers 26/31 -> 24/29.",If each person keeps only their earliest hire: Job Board share of hires 7/26 -> 7/24 (+2.24pp); accepted/all offers 26/36 -> 24/34 (-1.63pp); accepted/decided offers 26/31 -> 24/29 (-1.11pp); top channel 'Job Board = Referral' -> 'Job Board',,audit_6_state_machine_contradictions.csv,False,
