rule_id,rule,table,record_id,key,detail
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,rec1hXVrOPLSyiC6Y,REQ-2025-013,"Status=Filled; active_applications=4; active_stages=Applied,Interview,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,rec810iCfuNrOnIYU,REQ-2025-015,"Status=Cancelled; active_applications=4; active_stages=Applied,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,recDWPyPdsjzjzYEx,REQ-2025-024,"Status=Filled; active_applications=9; active_stages=Applied,Interview,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,recN2CRitgJbTxrMs,REQ-2026-017,"Status=Filled; active_applications=7; active_stages=Applied,Interview,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,recRf0sg8Gga7o7w9,REQ-2026-008,"Status=Filled; active_applications=4; active_stages=Interview,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,recZHFjeFl5dHlCgF,REQ-2026-002,"Status=Filled; active_applications=17; active_stages=Applied,Interview,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,recfHWdP7FhYmzOhw,REQ-2026-011,"Status=Filled; active_applications=6; active_stages=Applied,Interview,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,recolz9ocG5Wv9YGc,REQ-2026-014,"Status=Filled; active_applications=2; active_stages=Interview,Screening"
R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,recsz6wxHxrxGkre3,REQ-2025-019,"Status=Filled; active_applications=6; active_stages=Applied,Interview,Screening"
R6.5,"Stage and Status disagree (terminal stage but Active, or open stage but Closed)",Applications,rec8n7ktHYBuzeY1h,APP-00039,Stage=Offer; Status=Closed; offer_status=Declined
R6.5,"Stage and Status disagree (terminal stage but Active, or open stage but Closed)",Applications,recCPGIfZwJpFdhnM,APP-00043,Stage=Offer; Status=Closed; offer_status=Declined
R6.5,"Stage and Status disagree (terminal stage but Active, or open stage but Closed)",Applications,recRAyDBrdQqQOVyP,APP-00019,Stage=Offer; Status=Closed; offer_status=Declined
R6.5,"Stage and Status disagree (terminal stage but Active, or open stage but Closed)",Applications,recpTfLaxtqwd6Zml,APP-00087,Stage=Offer; Status=Closed; offer_status=Declined
R6.5,"Stage and Status disagree (terminal stage but Active, or open stage but Closed)",Applications,recwP2FumcSYmnZP8,APP-00223,Stage=Offer; Status=Closed; offer_status=Declined
R6.6,Offer Pending but it carries a Decision On date,Offers,rec5GeU3frNNkZrws,OFF-00020,Status=Pending; Decision On=2026-08-15
R6.6,Offer Pending but it carries a Decision On date,Offers,recMJLFhIqQcUh6A9,OFF-00013,Status=Pending; Decision On=2026-07-05
R6.6,Offer Pending but it carries a Decision On date,Offers,recQq6ghz7ksCfsKV,OFF-00007,Status=Pending; Decision On=2026-08-20
R6.6,Offer Pending but it carries a Decision On date,Offers,recUzh2Vj5NyAPwRO,OFF-00002,Status=Pending; Decision On=2026-02-02
