claim,metric,value,method,confidence
"C1 job boards: biggest channel, 26.9% of hires",vp_figure_reproduced,7/26 = 26.92%,"Applications with Stage='Hired', all dates, duplicate kept; channel = linked Candidates.Source; Source='Job Board' rows / all rows","high: the only one of 441 distinct fractions (2,580 definitions) rounding to 26.9%"
"C1 job boards: biggest channel, 26.9% of hires",job_board_share_of_hires [B1 Source as recorded],7/25 = 28.00% (95% CI 14.28-47.58),"Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = linked Candidates.Source; job-board hires / 25; Wilson 95% interval","low: 25 hires, 95% interval 33 points wide, only 7 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",job_board_share_of_hires [B2 LinkedIn merged into Job Board],10/25 = 40.00% (95% CI 23.40-59.26),"Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = Candidates.Source with 'LinkedIn' counted as 'Job Board'; job-board hires / 25; Wilson 95% interval","low: 25 hires, 95% interval 36 points wide, only 10 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",job_board_share_of_hires [B3 any Referred By link counts as Referral],6/25 = 24.00% (95% CI 11.50-43.43),"Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = Candidates.Source, set to 'Referral' when the application has Referred By; job-board hires / 25; Wilson 95% interval","low: 25 hires, 95% interval 32 points wide, only 6 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",channel_ranking_by_hires [B1 Source as recorded],"1. Job Board 7, 2. Referral 6, 3. Career Site 5, 4. Agency 4, 5. LinkedIn 3, 6. Campus 0","Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = linked Candidates.Source; hires per channel, ties share a rank","low: 25 hires, and first and second place are not separable (see first_vs_second_place)"
"C1 job boards: biggest channel, 26.9% of hires",channel_ranking_by_hires [B2 LinkedIn merged into Job Board],"1. Job Board + LinkedIn 10, 2. Referral 6, 3. Career Site 5, 4. Agency 4, 5. Campus 0","Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = Candidates.Source with 'LinkedIn' counted as 'Job Board'; hires per channel, ties share a rank","low: 25 hires, and first and second place are not separable (see first_vs_second_place)"
"C1 job boards: biggest channel, 26.9% of hires",channel_ranking_by_hires [B3 any Referred By link counts as Referral],"1. Referral 9, 2. Job Board 6, 3. Career Site 4, 4. Agency 3, 4. LinkedIn 3, 6. Campus 0","Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = Candidates.Source, set to 'Referral' when the application has Referred By; hires per channel, ties share a rank","low: 25 hires, and first and second place are not separable (see first_vs_second_place)"
"C1 job boards: biggest channel, 26.9% of hires",first_vs_second_place [B1 Source as recorded],"Job Board 7/25 vs Referral 6/25: p = 1.0000, not separable at 0.05","Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = linked Candidates.Source; exact two-sided binomial test of first-place hires against a 50/50 split of first + second place hires","high: p = 1.00, far from the 0.05 line"
"C1 job boards: biggest channel, 26.9% of hires",first_vs_second_place [B2 LinkedIn merged into Job Board],"Job Board + LinkedIn 10/25 vs Referral 6/25: p = 0.4545, not separable at 0.05","Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = Candidates.Source with 'LinkedIn' counted as 'Job Board'; exact two-sided binomial test of first-place hires against a 50/50 split of first + second place hires","high: p = 0.45, far from the 0.05 line"
"C1 job boards: biggest channel, 26.9% of hires",first_vs_second_place [B3 any Referred By link counts as Referral],"Referral 9/25 vs Job Board 6/25: p = 0.6072, not separable at 0.05","Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; channel = Candidates.Source, set to 'Referral' when the application has Referred By; exact two-sided binomial test of first-place hires against a 50/50 split of first + second place hires","high: p = 0.61, far from the 0.05 line"
"C1 job boards: biggest channel, 26.9% of hires",hires_needed_to_separate_leader [B1 Source as recorded],"2,544 hires (illustration at the volume in this base: 101.8 years at 2.08 hires/month; 10.2 years at ten times that volume)","n = (z_0.975 + z_0.80)^2 * (pA + pB - d^2) / d^2 with the observed first/second shares of 25 hires; hires/month = hires closed in the 12 months to 2026-08-27 / 12; calendar time is an illustration at the volume in this base, which placeholder data cannot establish as Acme's real scale, shown with the same figure at ten times that volume",low: assumes the observed shares are the true shares
"C1 job boards: biggest channel, 26.9% of hires",hires_needed_to_separate_leader [B2 LinkedIn merged into Job Board],189 hires (illustration at the volume in this base: 7.6 years at 2.08 hires/month; 0.8 years at ten times that volume),"n = (z_0.975 + z_0.80)^2 * (pA + pB - d^2) / d^2 with the observed first/second shares of 25 hires; hires/month = hires closed in the 12 months to 2026-08-27 / 12; calendar time is an illustration at the volume in this base, which placeholder data cannot establish as Acme's real scale, shown with the same figure at ten times that volume",low: assumes the observed shares are the true shares
"C1 job boards: biggest channel, 26.9% of hires",hires_needed_to_separate_leader [B3 any Referred By link counts as Referral],320 hires (illustration at the volume in this base: 12.8 years at 2.08 hires/month; 1.3 years at ten times that volume),"n = (z_0.975 + z_0.80)^2 * (pA + pB - d^2) / d^2 with the observed first/second shares of 25 hires; hires/month = hires closed in the 12 months to 2026-08-27 / 12; calendar time is an illustration at the volume in this base, which placeholder data cannot establish as Acme's real scale, shown with the same figure at ten times that volume",low: assumes the observed shares are the true shares
"C1 job boards: biggest channel, 26.9% of hires",job_board_share_of_applications [B1 Source as recorded],195/298 = 65.44% (95% CI 59.87-70.61),"Applications applied on or before 2026-06-28 (60 days, the slowest recorded hire, before 2026-08-27), dropping APP-00335: 298; channel = linked Candidates.Source; job-board applications / 298; Wilson 95%","high: 298 applications, 95% interval 11 points wide"
